mean_ndcg10,std_ndcg10,mean_ndcg,std_ndcg,mean_map,std_map,name
0.0289,0.02756,0.01955,0.0172,0.0041,0.00409,popular_10_0.5_10_
0.01552,0.01257,0.01122,0.01166,0.00303,0.00376,popular_10_1_10_
0.0,0.0,0.0,0.0,0.0,0.0,popular_10_2_10_
0.02031,0.02616,0.01905,0.02485,0.00417,0.0051,popular_50_0.5_10_
0.03497,0.05078,0.03251,0.04757,0.00365,0.00391,popular_50_1_10_
0.00103,0.00205,0.001,0.002,0.00117,0.00234,popular_50_2_10_
0.0,0.0,0.0,0.0,0.0,0.0,popular_100_0.5_10_
0.01527,0.03053,0.01527,0.03053,0.00476,0.00952,popular_100_1_10_
0.00664,0.01121,0.00664,0.01121,0.00109,0.00136,popular_100_2_10_
