mean_ndcg10,std_ndcg10,mean_ndcg,std_ndcg,mean_map,std_map,name
0.03014,0.0282,0.01995,0.01772,0.0041,0.00409,popular_10_0.5_10_
0.01979,0.01162,0.01422,0.0085,0.00303,0.00376,popular_10_1_10_
0.0,0.0,0.0,0.0,0.0,0.0,popular_10_2_10_
0.01592,0.0196,0.01462,0.0181,0.00417,0.0051,popular_50_0.5_10_
0.02031,0.01345,0.01889,0.0123,0.00365,0.00391,popular_50_1_10_
0.00748,0.01496,0.00719,0.01438,0.00117,0.00234,popular_50_2_10_
0.0,0.0,0.0,0.0,0.0,0.0,popular_100_0.5_10_
0.00653,0.01305,0.00653,0.01305,0.00476,0.00952,popular_100_1_10_
0.00702,0.00915,0.00702,0.00915,0.00109,0.00136,popular_100_2_10_
